,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (female/male pop. %)-female,Labour force participation (female/male pop. %)-male,"Life expectancy at birth (females/males, years)-female","Life expectancy at birth (females/males, years)-male",Education: Primary gross enrol. ratio (f/m per 100 pop.)-female,Education: Primary gross enrol. ratio (f/m per 100 pop.)-male,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-female,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-male,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-female,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-male,"Population age distribution (0-14 / 60+ years, %)-0-14 years","Population age distribution (0-14 / 60+ years, %)-60+ years",International migrant stock (000/% of total pop.)-in thousands,International migrant stock (000/% of total pop.)-as % of total pop,CO2 emission estimates (million tons/tons per capita)-million tons,CO2 emission estimates (million tons/tons per capita)-tons per capita,"Pop. using improved drinking water (urban/rural, %)-Urban","Pop. using improved drinking water (urban/rural, %)-Rural","Pop. using improved sanitation facilities (urban/rural, %)-Urban","Pop. using improved sanitation facilities (urban/rural, %)-Rural",country,Region
107,591958,49700,87.3,98.8,63399,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,4.1,582.4,39.4,5.7,0.2,5.3,19.4,80.7,45.6,480,7.7,750,20,3.93,62.4,72.4,67.8,63.0,108.7,109.3,-99.0,-99.0,-99.0,-99.0,40.5,4.3,1084.4,2.4,14.3,0.3,81.6,56.8,31.2,29.7,Kenya,EasternAfrica
108,726,116,143.7,97.3,162,3.7,1442.9,24.1,13.6,62.2,-99.0,-99.0,-99.0,-99.0,61,61,3,116,-113,45,1.8,44.3,1.8,3.8,-99.0,46.9,10.2,0.2,-99.0,6.5,38.8,13.0,104,15.0,0,8,20.05,-99.0,-99.0,68.9,62.4,106.1,102.9,-99.0,-99.0,-99.0,-99.0,35.0,6.4,3.2,2.8,0.1,0.6,87.3,50.6,51.2,30.6,Kiribati,Micronesia
109,17818,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199,199,46238,30825,15413,8584,5.4,98.3,3.6,2.0,94.7,8.4,3.0,1.9,-99.0,3.1,231.8,82.1,49,0.4,6941,380,-99.0,47.7,83.6,75.5,73.5,103.0,102.4,102.7,88.2,33.1,20.4,21.1,4.9,2866.1,73.6,95.4,25.4,99.0,99.0,100.0,100.0,Kuwait,WesternAsia
110,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21.0,49.8,7.7,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,8.2,19.6,6.5,1.9,5.5,19.2,132.8,30.2,44,3.4,80,27,12.16,49.7,77.5,74.3,66.4,106.8,107.9,92.8,91.4,53.3,40.8,31.8,7.6,204.4,3.4,9.6,1.7,96.7,86.2,89.1,95.6,Kyrgyzstan,CentralAsia
111,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4.0,17.7,1.5,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,2.9,-99.0,47.3,1.9,0.2,3.3,27.5,53.1,18.2,209,80.5,72,12,4.03,77.9,77.8,66.8,63.9,109.1,113.5,59.3,64.1,16.5,17.3,32.9,6.3,22.2,0.3,2.0,0.3,85.6,69.4,94.5,56.0,Lao People's Democratic Republic,South-easternAsia
112,64573,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23.0,69.7,9.6,130,130,11433,13596,-2163,-210,-1.2,67.4,-0.7,1.5,252.6,6.5,5.9,3.2,5.3,16.0,127.0,79.2,30,54.0,108,99,-99.0,54.5,67.7,78.7,68.8,99.2,100.1,119.1,119.9,79.2,55.5,15.4,26.2,263.1,13.4,7.0,3.5,99.8,98.3,90.8,81.5,Latvia,NorthernEurope
113,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7.0,95,95,3402,20409,-17007,-8146,6.0,87.8,3.2,1.7,1054.2,9.2,6.4,2.4,2.6,3.1,87.1,74.0,87,13.4,7,55,2.04,23.8,70.6,80.9,77.3,88.3,96.6,61.0,61.5,45.7,39.5,23.1,12.0,1997.8,34.1,24.1,4.3,99.0,99.0,80.7,80.7,Lebanon,WesternAsia
114,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61.0,39.7,20.0,40.3,27.5,101,100,648,1727,-1079,-168,1.3,27.3,3.0,3.3,0.0,59.8,10.6,-99.0,-99.0,25.0,105.5,16.1,18,1.6,31,28,4.11,59.7,74.6,54.7,50.1,104.0,107.0,62.0,45.7,11.7,8.0,35.4,6.7,6.6,0.3,2.5,1.2,94.6,77.0,37.3,27.6,Lesotho,SouthernAfrica
115,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43.0,4.1,104,121,641,727,-86,-860,2.6,49.7,3.4,4.8,22.1,59.0,10.0,-99.0,2.8,12.3,81.1,5.9,172,43.7,73,19,61.73,57.9,64.1,61.6,59.8,89.1,98.5,32.5,41.9,9.0,14.2,41.8,4.9,113.8,2.5,0.9,0.2,88.6,62.6,28.0,5.9,Liberia,WesternAfrica
116,1676198,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,32.0,19.1,25.1,55.8,19.2,113,114,4615,8876,-4261,-108,0.2,78.6,1.1,2.4,472.5,24.3,5.0,2.1,-99.0,16.0,157.0,19.0,63,0.1,1505,119,0.51,27.8,78.4,74.4,68.8,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,28.2,6.6,771.1,12.3,57.0,9.1,-99.0,-99.0,96.8,95.7,Libya,NorthernAfrica
117,160,38,237.0,98.4,6361,1.4,169491.8,0.7,40.1,59.2,-99.0,-99.0,-99.0,2.6,102,102,-99,-99,-99,-99,0.8,14.3,0.5,1.5,0.3,-99.0,-99.0,-99.0,2.6,12.0,108.8,96.6,6,43.1,1,74,-99.0,53.5,70.6,-99.0,-99.0,104.8,106.5,101.7,130.7,21.9,44.8,14.9,22.7,23.5,62.6,0.0,1.1,-99.0,-99.0,-99.0,-99.0,Liechtenstein,WesternEurope
118,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,1.6,4.7,4.4,6.6,4.3,4.6,21.3,139.5,71.4,26,34.8,74,98,-99.0,54.1,66.1,79.3,68.5,103.7,103.2,106.1,110.3,82.0,55.8,14.8,25.3,136.0,4.7,12.8,4.4,99.7,90.4,97.2,82.8,Lithuania,NorthernEurope
119,2586,584,225.3,101.0,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,98,98,12838,19124,-6285,2962,2.2,90.2,1.7,1.5,4.2,3.4,6.9,2.9,4.1,28.3,148.5,97.3,11,33.5,6,290,-99.0,52.0,65.5,83.4,78.8,97.3,96.9,103.5,101.1,20.7,18.2,16.4,19.6,249.3,44.0,9.7,17.3,100.0,100.0,97.5,98.5,Luxembourg,WesternEurope
120,587295,25571,44.0,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,-709,-622,2.7,35.1,4.7,4.4,0.1,36.8,3.0,0.1,2.1,19.2,46.0,4.2,1324,21.5,129,7,7.05,83.8,89.0,66.0,63.0,148.9,148.9,38.1,38.8,4.6,5.0,41.0,4.8,32.1,0.1,3.1,0.1,81.6,35.3,18.0,8.7,Madagascar,EasternAfrica
121,118484,18622,197.5,98.2,6420,3.0,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,-774,-710,2.9,16.3,3.8,4.9,25.7,66.5,11.4,-99.0,5.6,16.7,35.3,9.3,176,33.6,89,6,16.53,81.3,81.0,63.1,58.2,147.0,144.0,41.0,45.8,0.6,1.0,44.0,4.3,215.2,1.2,1.3,0.1,95.7,89.1,47.3,39.8,Malawi,EasternAfrica
122,330323,31624,96.3,106.7,296284,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122,130,189414,168375,21039,8960,1.8,74.7,2.7,2.1,238.6,6.5,4.2,1.3,5.0,10.4,143.9,71.1,1272,67.5,3738,118,0.0,49.3,77.8,77.1,72.6,101.9,101.7,80.7,74.6,31.8,20.8,24.3,9.7,2514.2,8.3,242.8,8.1,100.0,93.0,96.1,95.9,Malaysia,South-easternAsia
123,300,436,1454.4,131.8,3435,2.8,9446.5,3.1,22.0,74.9,7.7,22.8,69.5,2.9,65,65,140,2128,-1988,-326,2.8,45.5,4.5,2.2,-99.0,9.0,13.7,-99.0,5.2,5.9,206.7,54.5,75,3.3,0,54,0.95,57.8,79.6,77.4,75.4,98.6,97.3,-99.0,-99.0,20.3,12.4,23.4,6.3,94.1,25.9,1.3,3.7,99.5,97.9,97.5,98.3,Maldives,SouthernAsia
124,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,520,-676,2.9,39.9,5.1,6.4,90.8,78.5,7.0,-99.0,3.7,8.8,139.6,10.3,42,3.9,55,4,9.45,50.5,82.3,56.9,55.6,72.1,79.3,36.8,45.6,4.1,9.6,47.7,4.0,363.1,2.1,1.4,0.1,96.5,64.1,37.5,16.1,Mali,WesternAfrica
125,315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15.0,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,-3143,539,0.5,95.4,0.5,1.4,8.1,4.8,9.7,3.9,7.8,12.5,129.3,76.2,39,1.1,1,78,-99.0,39.4,65.7,82.0,78.6,104.7,102.2,98.1,91.7,55.2,40.3,14.4,26.1,41.4,9.9,2.3,5.6,100.0,100.0,100.0,100.0,Malta,SouthernEurope
126,181,53,295.2,104.5,183,0.6,3452.6,16.4,10.2,73.3,-99.0,-99.0,-99.0,4.7,115,115,27,86,-58,-5,0.2,72.7,0.6,4.1,-99.0,25.4,17.1,0.5,-99.0,9.1,29.2,19.3,101,70.2,0,27,24.11,29.0,53.3,72.5,71.3,93.3,93.5,80.4,73.1,41.2,44.6,39.0,5.5,3.3,6.2,0.1,1.9,93.5,97.6,84.5,56.2,Marshall Islands,Micronesia
127,1128,385,363.1,83.5,-99,-99.0,-99.0,-99.0,-99.0,-99.0,3.9,11.8,69.0,22.8,78,78,-99,-99,-99,-99,-0.5,88.9,0.2,2.0,-99.0,6.4,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,48,45.8,1,79,-99.0,52.6,53.8,84.4,77.8,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,17.7,25.7,61.7,15.6,2.3,5.8,100.0,99.8,94.0,72.7,Martinique,Caribbean
128,1030700,4420,4.3,101.6,5023,1.2,1235.0,20.9,41.7,37.4,40.3,9.5,50.2,12.0,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,4.9,69.0,68.0,3.8,-99.0,2.9,25.2,89.3,15.2,86,0.2,31,13,5.02,29.3,65.5,64.1,61.2,105.0,100.0,29.5,31.7,3.6,7.1,39.9,5.0,138.2,3.4,2.7,0.7,58.4,57.1,57.5,13.8,Mauritania,WesternAfrica
129,1969,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96,96,2194,4655,-2461,-566,0.2,39.7,-0.1,1.5,-99.0,12.0,4.8,-99.0,4.9,11.6,140.6,50.1,257,19.0,10,51,0.67,46.9,74.3,77.7,70.7,103.9,102.2,97.9,93.6,41.7,31.7,18.4,16.6,28.6,2.2,4.2,3.3,99.9,99.8,93.9,92.6,Mauritius,EasternAfrica
130,-99,253,674.8,96.7,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,2.8,47.0,1.9,4.1,-99.0,4.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,88,16.1,0,19,-99.0,-99.0,-99.0,82.9,76.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,40.6,5.8,77.0,32.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Mayotte,EasternAfrica
131,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,5.9,18.8,6.3,2.1,5.3,42.6,85.3,57.4,1162,34.0,8514,62,0.03,45.5,79.5,78.9,74.0,103.2,103.6,93.5,87.7,30.0,29.9,26.7,10.1,1193.2,0.9,480.3,3.8,97.2,92.1,88.0,74.5,Mexico,CentralAmerica
132,702,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,65.8,-99.0,-99.0,-99.0,-99.0,99,99,6,40,-34,22,0.2,22.4,0.3,3.3,0.0,33.2,13.7,-99.0,12.5,0.0,30.3,31.5,167,91.8,0,22,34.11,-99.0,-99.0,69.8,67.7,95.7,95.4,-99.0,-99.0,-99.0,-99.0,33.1,8.0,2.8,2.6,0.2,1.4,94.8,87.4,85.1,49.0,Micronesia (Federated States of),Micronesia
133,2,39,25969.8,94.7,6258,5.4,165870.6,-99.0,13.4,86.6,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,0.6,100.0,0.8,-99.0,0.0,-99.0,4.3,6.6,1.0,20.8,88.8,93.4,21,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21.0,55.8,-99.0,-99.0,100.0,-99.0,100.0,-99.0,Monaco,WesternEurope
134,1564116,3076,2.0,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,147,149,4917,3358,1559,-948,1.9,72.0,2.8,2.8,0.0,22.8,4.7,2.9,4.6,17.1,105.0,21.4,41,8.1,677,84,2.21,56.8,69.3,72.7,64.5,100.0,101.8,92.4,90.5,79.7,57.7,29.7,6.6,17.6,0.6,20.8,7.2,66.4,59.2,66.4,42.6,Mongolia,EasternAsia
135,13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,-1908,-533,0.1,64.0,0.3,1.7,16.0,4.1,6.4,2.3,-99.0,23.5,162.2,64.6,98,61.5,29,64,2.44,41.8,55.9,78.8,74.0,93.3,95.2,90.3,90.4,-99.0,-99.0,18.1,21.3,82.5,13.2,2.2,3.5,100.0,99.2,98.0,92.2,Montenegro,SouthernEurope
136,103,5,51.8,106.0,59,0.4,11553.4,1.4,12.7,85.9,-99.0,-99.0,-99.0,5.6,103,103,4,36,-32,-27,0.7,9.0,0.7,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,96.6,54.6,55,25.0,-99,133,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.7,19.6,1.4,26.4,0.0,9.6,99.0,99.0,-99.0,-99.0,Montserrat,Caribbean
137,446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,2.6,6.4,28.1,5.9,0.6,-99.0,20.5,126.9,57.1,207,12.6,78,23,1.51,25.6,74.5,76.0,73.7,111.6,117.7,63.5,74.4,27.5,28.7,27.4,10.7,88.5,0.3,59.9,1.7,98.7,65.3,84.1,65.5,Morocco,NorthernAfrica
138,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21.0,54.4,75.0,4.1,21.0,24.1,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,24.0,67.3,7.0,0.1,6.5,39.6,74.2,9.0,309,48.5,779,20,12.54,82.2,75.6,58.1,54.0,101.2,110.4,31.1,33.8,5.4,7.4,44.8,4.8,222.9,0.8,8.4,0.3,80.6,37.0,42.4,10.1,Mozambique,EasternAfrica
139,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,1392.1,45.0,2.3,0.6,-99.0,10.2,76.7,21.8,321,45.3,1078,15,2.23,74.7,80.8,68.3,63.7,98.3,101.0,52.0,50.6,14.9,12.1,26.8,9.4,73.3,0.1,21.6,0.4,92.7,74.4,84.3,77.1,Myanmar,South-easternAsia
140,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,4.8,36.4,-99.0,-99.0,-99.0,41.3,102.1,22.3,115,8.5,19,31,1.24,56.4,64.3,64.3,59.1,109.5,113.3,-99.0,-99.0,-99.0,-99.0,36.7,5.5,93.9,3.8,3.8,1.6,98.2,84.6,54.5,16.8,Namibia,SouthernAfrica
141,21,11,568.0,101.9,189,18.7,18469.2,3.0,59.9,37.1,-99.0,-99.0,-99.0,23.0,112,112,-99,-99,-99,-99,2.3,100.0,0.2,3.9,0.8,18.0,3.3,-99.0,-99.0,10.5,67.8,54.0,82,0.0,0,63,-99.0,49.3,78.9,64.8,57.8,100.4,109.5,83.4,81.9,-99.0,-99.0,39.5,4.0,3.2,31.1,0.0,4.8,96.5,-99.0,65.6,-99.0,Nauru,Micronesia
142,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3.0,139,139,703,5249,-4547,2447,1.2,18.6,3.2,2.3,30.7,32.8,5.8,-99.0,3.7,29.6,96.8,17.6,104,25.4,451,19,5.73,79.7,86.7,70.4,67.4,141.2,130.7,72.2,67.1,15.1,14.8,30.9,8.8,518.3,1.8,8.0,0.3,90.9,91.8,56.0,43.5,Nepal,SouthernAsia
143,41542,17036,505.2,99.0,750318,2.0,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,90745,65129,0.3,90.5,1.0,1.7,116.3,3.5,10.9,3.4,5.5,38.0,123.5,93.1,40,11.1,2447,178,-99.0,57.3,69.7,83.1,79.4,104.4,105.0,136.3,134.7,82.5,74.7,16.4,25.0,1979.5,11.7,167.3,9.9,100.0,100.0,97.5,99.9,Netherlands,WesternEurope
144,18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26.0,72.6,3.0,26.9,70.1,15.1,102,103,1344,2422,-1079,-1469,1.4,70.2,2.2,2.2,-99.0,13.0,-99.0,-99.0,-99.0,-99.0,93.5,74.0,526,45.9,1,215,-99.0,45.5,66.9,79.3,73.7,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,22.5,14.2,64.3,24.4,4.3,16.5,98.5,98.5,100.0,100.0,New Caledonia,Melanesia
145,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23.0,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,-2589,-5501,1.1,86.3,1.0,2.0,1.7,4.4,11.0,2.9,6.4,34.2,121.8,88.2,199,38.6,783,207,-99.0,62.1,72.8,83.1,79.5,99.1,99.6,119.9,113.4,96.7,71.6,19.8,20.8,1039.7,23.0,34.7,7.7,100.0,100.0,-99.0,-99.0,New Zealand,Oceania
146,130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,-3701,-1045,1.2,58.8,2.0,2.3,0.6,20.0,9.0,0.9,-99.0,45.7,116.1,19.7,144,25.9,91,26,3.68,49.6,80.6,77.5,71.4,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,29.0,8.4,40.3,0.7,4.9,0.8,99.3,69.4,76.5,55.7,Nicaragua,CentralAmerica
147,1267000,21477,17.0,100.6,7143,3.6,359.0,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,-933,-1150,3.8,18.7,5.1,7.4,312.5,65.8,6.0,-99.0,6.7,17.0,46.5,2.2,34,0.9,101,5,12.26,40.4,89.2,59.5,57.6,66.8,77.9,17.2,24.2,0.9,2.6,50.2,4.2,189.3,1.0,2.1,0.1,100.0,48.6,37.9,4.6,Niger,WesternAfrica
148,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,2437.5,76.3,3.7,-99.0,-99.0,5.6,82.2,47.4,361,8.1,10851,32,0.52,48.5,64.3,52.6,51.2,92.8,94.5,53.5,57.8,8.3,11.8,44.0,4.5,1199.1,0.7,96.3,0.6,80.8,57.3,32.8,25.4,Nigeria,WesternAfrica
149,260,2,6.2,100.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,101,101,-99,-99,-99,-99,-0.1,42.5,-0.9,2.6,-99.0,8.1,7.4,-99.0,-99.0,-99.0,-99.0,79.6,52,70.0,0,62,-99.0,-99.0,-99.0,76.3,70.1,120.2,147.2,114.1,104.1,-99.0,-99.0,22.8,20.1,0.6,34.6,0.0,5.7,98.4,98.6,100.0,100.0,Niue,Polynesia
150,457,55,119.9,107.1,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,1735,4553,-2818,-99,0.1,89.2,0.4,1.6,-99.0,6.4,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,102,64.5,-99,-99,-99.0,-99.0,-99.0,77.9,74.9,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,23.5,10.0,21.6,39.3,-99.0,-99.0,97.5,97.5,79.7,79.7,Northern Mariana Islands,Micronesia
151,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,73.2,2.4,9.7,4.4,7.4,39.6,113.6,96.8,64,33.2,8204,233,-99.0,61.1,68.3,83.6,79.5,100.3,100.5,111.1,114.7,91.5,62.8,17.8,22.3,741.8,14.2,47.6,9.2,100.0,100.0,98.0,98.3,Norway,NorthernEurope
152,309500,4636,15.0,192.8,69832,5.7,15550.8,1.5,51.1,47.3,5.0,39.6,55.4,17.8,134,134,24455,23260,1195,-10807,6.5,77.6,8.5,2.9,0.6,9.6,3.6,1.5,5.0,1.2,159.9,74.2,99,0.0,3101,239,-99.0,30.1,85.4,78.7,74.5,111.2,107.4,107.9,101.0,-99.0,-99.0,21.8,4.0,1845.0,41.1,61.2,14.4,95.5,86.1,97.3,94.7,Oman,WesternAsia
153,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,2739.4,69.8,2.6,0.8,2.6,20.6,66.9,18.0,140,2.0,2202,17,1.32,24.8,82.5,66.8,65.0,85.2,99.7,39.2,49.5,9.2,10.6,34.8,6.7,3629.0,1.9,166.3,0.9,93.9,89.9,83.1,51.1,Pakistan,SouthernAsia
154,459,22,47.2,113.3,258,5.7,12122.5,3.8,8.0,88.2,-99.0,-99.0,-99.0,-99.0,-99,-99,7,154,-147,-24,0.8,87.1,1.7,2.2,0.0,13.3,9.0,-99.0,-99.0,12.5,111.5,-99.0,182,87.6,-99,172,5.05,-99.0,-99.0,77.8,68.1,99.0,100.3,95.2,96.2,76.1,49.1,20.3,13.1,5.7,26.6,0.3,12.4,97.0,86.0,100.0,100.0,Palau,Micronesia
155,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70.0,14.5,19.6,65.9,6.2,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,21.5,15.2,8.0,1.6,3.2,18.3,174.2,51.2,383,62.3,31,35,0.02,50.5,80.4,80.5,74.3,100.9,103.5,78.3,72.9,46.5,31.2,27.4,11.4,184.7,4.7,8.8,2.3,97.7,88.6,83.5,58.0,Panama,CentralAmerica
156,462840,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26.0,2.5,84,83,8760,8874,-114,5326,2.2,13.0,2.1,3.8,9.7,49.0,4.3,-99.0,-99.0,2.7,46.6,7.9,493,74.1,114,22,3.51,69.6,71.2,67.4,62.6,109.3,119.8,34.6,45.8,-99.0,-99.0,35.9,6.1,25.8,0.3,6.3,0.8,88.0,32.8,56.4,13.3,Papua New Guinea,Melanesia
157,406752,6811,17.1,102.9,27714,3.1,4174.4,19.0,29.5,51.6,19.6,19.5,61.0,5.5,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,0.2,28.8,9.8,1.3,5.0,13.8,105.4,44.4,59,39.4,325,38,0.22,58.3,84.7,74.9,70.7,104.3,107.6,79.1,74.2,-99.0,-99.0,29.4,9.4,156.5,2.4,5.7,0.9,100.0,94.9,95.5,78.4,Paraguay,SouthAmerica
158,1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,2.5,18.6,5.5,1.1,4.0,27.7,109.9,40.9,685,57.9,1020,30,0.18,66.1,82.8,76.8,71.5,101.7,101.7,95.8,95.7,-99.0,-99.0,27.4,10.4,90.9,0.3,61.7,2.0,91.4,69.2,82.5,53.2,Peru,SouthAmerica
159,300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3.0,240.2,22.2,4.7,-99.0,-99.0,29.5,118.1,40.7,783,26.2,991,19,0.15,50.8,78.9,72.1,65.4,116.9,116.8,92.7,84.4,40.3,31.4,31.7,7.6,211.9,0.2,105.7,1.1,93.7,90.3,77.9,70.8,Philippines,South-easternAsia
160,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455,188518,7937,-2932,0.0,60.5,-0.1,1.3,23.7,4.5,6.4,2.3,4.9,28.0,148.7,68.0,58,30.7,2819,102,-99.0,49.1,64.9,81.0,72.9,100.7,100.5,106.1,110.0,82.6,54.2,14.8,24.0,619.4,1.6,285.7,7.4,99.3,96.9,97.5,96.7,Poland,EasternEurope
161,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8.0,23.8,68.2,10.5,104,104,55658,67580,-11922,842,-0.4,63.5,1.0,1.3,1.8,2.9,9.5,4.4,5.1,34.8,110.4,68.6,281,34.9,250,84,-99.0,53.3,63.7,83.5,77.3,105.3,109.4,117.3,121.0,65.7,58.0,13.6,27.9,837.3,8.1,45.1,4.3,100.0,100.0,99.6,99.8,Portugal,SouthernEurope
