,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (female/male pop. %)-female,Labour force participation (female/male pop. %)-male,"Life expectancy at birth (females/males, years)-female","Life expectancy at birth (females/males, years)-male",Education: Primary gross enrol. ratio (f/m per 100 pop.)-female,Education: Primary gross enrol. ratio (f/m per 100 pop.)-male,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-female,Education: Secondary gross enrol. ratio (f/m per 100 pop.)-male,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-female,Education: Tertiary gross enrol. ratio (f/m per 100 pop.)-male,"Population age distribution (0-14 / 60+ years, %)-0-14 years","Population age distribution (0-14 / 60+ years, %)-60+ years",International migrant stock (000/% of total pop.)-in thousands,International migrant stock (000/% of total pop.)-as % of total pop,CO2 emission estimates (million tons/tons per capita)-million tons,CO2 emission estimates (million tons/tons per capita)-tons per capita,"Pop. using improved drinking water (urban/rural, %)-Urban","Pop. using improved drinking water (urban/rural, %)-Rural","Pop. using improved sanitation facilities (urban/rural, %)-Urban","Pop. using improved sanitation facilities (urban/rural, %)-Rural",country,Region
31,111002,7085,65.3,94.6,48953,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,1.5,33.7,8.3,8.4,4.0,4.1,19.2,129.3,56.7,104,35.1,474,103,-99.0,48.5,60.1,77.8,70.8,96.7,97.7,97.4,100.5,82.9,65.4,14.2,27.7,102.1,1.4,42.4,5.9,99.6,99.0,86.8,83.7,Bulgaria,EasternEurope
32,272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,80.0,4.9,15.1,2.9,131,134,2019,3699,-1680,-998,3.0,29.9,5.9,5.6,32.7,64.8,5.0,0.0,4.1,11.0,80.6,11.4,31,19.8,123,9,9.11,76.5,90.5,59.3,58.0,86.1,89.9,32.2,35.1,3.8,7.3,45.2,3.9,704.7,3.9,2.8,0.1,97.5,75.8,50.4,6.7,Burkina Faso,WesternAfrica
33,27830,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109,122,123,625,-502,-375,3.0,12.1,5.7,6.0,103.2,77.8,7.5,-99.0,5.4,36.4,46.2,4.9,61,10.6,56,6,11.91,84.6,82.7,58.0,54.2,124.5,123.1,40.5,44.5,2.4,7.7,45.0,4.4,286.8,2.6,0.4,0.0,91.1,73.8,43.8,48.6,Burundi,EasternAfrica
34,4033,546,135.6,99.3,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98,98,29,485,-455,-73,1.2,65.5,2.0,2.5,0.1,22.5,4.8,0.3,5.0,23.6,127.2,43.0,65,22.1,2,17,9.81,53.7,84.6,74.0,70.1,106.9,112.8,98.3,87.7,25.2,18.1,30.2,6.9,14.9,2.9,0.5,1.0,94.0,87.3,81.6,54.3,Cabo Verde,WesternAfrica
35,181035,16005,90.7,95.3,18050,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,175,177,13204,15313,-2109,-1657,1.6,20.7,2.6,2.7,0.3,29.9,5.7,0.2,1.9,20.3,133.0,19.0,255,54.3,178,17,3.97,75.6,87.0,69.6,65.5,116.2,117.1,-99.0,-99.0,11.8,14.3,31.3,7.1,74.0,0.5,6.7,0.4,100.0,69.1,88.1,30.5,Cambodia,South-easternAsia
36,475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,5.0,544.9,67.5,4.1,-99.0,3.0,31.1,71.8,20.7,775,40.3,408,14,2.31,71.1,81.2,57.7,55.1,110.7,123.5,53.5,62.6,15.2,19.7,42.7,4.8,382.0,1.6,7.0,0.3,94.8,52.7,61.8,26.8,Cameroon,MiddleAfrica
37,9984670,36624,4.0,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,-14043,-53083,1.0,81.8,1.2,1.6,155.8,4.7,10.4,2.5,5.3,26.3,81.9,88.5,122,38.2,19276,324,-99.0,60.7,69.9,83.8,79.7,101.1,100.1,110.0,109.8,-99.0,-99.0,16.0,23.5,7835.5,21.8,537.2,15.1,100.0,99.0,100.0,99.0,Canada,NorthernAmerica
38,264,62,256.5,100.4,3726,0.7,62132.0,0.3,7.5,92.2,0.8,15.5,83.6,6.3,104,104,18,991,-972,-99,1.5,100.0,1.5,-99.0,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,155.5,77.0,74,52.9,-99,130,-99.0,80.6,85.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,18.3,6.7,23.7,39.6,0.5,9.2,97.4,-99.0,95.6,-99.0,Cayman Islands,Caribbean
39,622984,4659,7.5,97.3,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114,113,213,147,66,-99,0.4,40.0,2.6,5.1,470.5,93.5,4.2,-99.0,1.2,8.6,20.4,4.6,60,35.6,19,5,32.25,71.9,84.6,51.0,47.8,79.8,107.3,11.8,23.0,1.5,4.1,43.2,5.5,81.6,1.7,0.3,0.1,89.6,54.4,43.6,7.2,Central African Republic,MiddleAfrica
40,1284000,14900,11.8,100.2,10009,6.6,713.0,25.4,39.0,35.6,76.6,2.0,21.4,5.8,146,151,1990,1371,619,-99,3.3,22.5,3.4,6.3,512.3,91.2,3.6,0.0,2.8,12.8,40.2,2.7,43,4.0,288,6,5.74,64.0,79.3,52.8,50.5,88.0,114.6,14.0,30.7,1.1,5.7,47.1,4.0,517.0,3.7,0.7,0.0,71.8,44.8,31.4,6.5,Chad,MiddleAfrica
