"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burundi","BDI","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","0.333779990673065","0.333539992570877","0.300720006227493","0.400559991598129","0.449519991874695","0.536610007286072","","","0.76596999168396","0.743650019168854","0.714739978313446","0.775259971618652","","0.854420006275177","0.891860008239746","0.999319970607758","0.936990022659302","1.14021003246307","1.11500000953674","1.01298999786377","1.18291997909546","1.28444004058838","1.44754004478455","","","","","1.37004005908966","1.4985100030899","1.81758999824524","1.76482999324799","2.64120006561279","","3.55324006080627","3.57841992378235","3.42077994346619","","","","4.22467994689941","","4.20683002471924","5.09750986099243","6.30732011795044","7.75232982635498","4.95334005355835","5.1410698890686","5.05225992202759","4.81210994720459","5.83763980865479",
"Belgium","BEL","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","21.5024700164795","21.7954006195068","23.4538898468018","24.1781806945801","24.1138591766357","","","27.6424808502197","29.2713794708252","28.1956806182861","26.7024993896484","28.7609100341797","29.0601406097412","29.8815898895264","33.039680480957","33.630989074707","34.2186584472656","35.0328216552734","37.1757392883301","38.3181381225586","39.5818290710449","","44.8711814880371","47.5400810241699","52.9523582458496","54.3997497558594","","","52.8219184875488","54.237548828125","54.2078094482422","54.4196014404297","54.5841903686523","55.1650085449219","54.5378303527832","54.7230987548828","54.1507911682129","54.9364318847656","58.1386604309082","59.9571495056152","61.6089096069336","62.491039276123","62.9612197875977","63.5087013244629","64.7687683105469","66.0998001098633","69.2897872924805","68.5491409301758","68.6353607177734","",
"Benin","BEN","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","0.253069996833801","0.422540009021759","0.754909992218018","1.1790599822998","1.16539001464844","1.26519000530243","","1.81360995769501","1.61530995368958","","","2.8493800163269","3.17001008987427","3.21673011779785","3.35132002830505","4.11370992660522","3.90026998519897","3.86268997192383","","","4.31245994567871","3.9379301071167","3.5293300151825","3.57021999359131","3.56792998313904","3.47403001785278","4.17791986465454","","5.25666999816895","5.96904993057251","7.22307014465332","","","","","10.2673902511597","12.1063499450684","11.7060098648071","14.6872396469116","20.307279586792","20.1538505554199","20.6943607330322","23.0698108673096","23.2950496673584","19.2695198059082","18.1647205352783","16.9937000274658","17.0004405975342","","",
"Burkina Faso","BFA","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","0.063340000808239","0.0834700018167496","0.094700001180172","0.142460003495216","0.161489993333817","0.324869990348816","0.290879994630814","0.352690011262894","0.368959993124008","0.333530008792877","0.439619988203049","0.674210011959076","0.783749997615814","0.844940006732941","0.919700026512146","0.94489997625351","0.975650012493134","1.03380000591278","1.14894998073578","1.16684997081757","1.07852005958557","1.44049000740051","1.66840004920959","1.59642004966736","1.7067699432373","1.59457004070282","1.49293005466461","","1.53568994998932","","","2.09249997138977","2.46708011627197","","3.1693799495697","3.33684992790222","3.575040102005","4.24175977706909","4.74637985229492","4.81930017471313","5.51845979690552","6.06913995742798","6.37138986587524","6.801109790802","6.62161016464233","7.32115983963013","7.85600996017456","8.18673992156982","9.04790019989014","10.0535202026367",
"Bangladesh","BGD","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","3.75936007499695","","4.28437995910645","","5.94409990310669","","4.83935022354126","5.11217021942139","4.04379987716675","5.67669010162354","5.46249008178711","5.20222997665405","5.82668018341064","7.42593002319336","8.04356956481934","8.04699039459229","7.84299993515015","6.89071989059448","6.10270023345947","6.02739000320435","6.9129900932312","","","","","","","","","7.50030994415283","7.48659992218018","8.634690284729","8.46487045288086","8.52505970001221","7.90936994552612","8.41769027709961","9.41337013244629","10.1652898788452","11.4008197784424","13.5378799438477","","16.1332302093506","15.9940004348755","16.0292701721191","15.9264402389526","16.4125900268555","20.9533290863037","21.2759895324707","24.016960144043","27.867769241333","25.7046298980713",
"Bulgaria","BGR","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","13.8186902999878","14.2721700668335","15.5152702331543","15.8693599700928","16.1804599761963","16.287769317627","16.2181491851807","16.0744705200195","14.9718799591064","14.2159004211426","13.750789642334","14.0767002105713","14.1400995254517","14.5322103500366","15.4142799377441","16.6520805358887","18.1427001953125","19.5850791931152","22.5000705718994","24.3261394500732","29.5052700042725","27.7762107849121","26.7068290710449","27.1116905212402","28.1644706726074","30.4509906768799","32.513988494873","32.6433715820313","35.4436187744141","36.7379684448242","36.3783111572266","36.5676193237305","38.1504707336426","39.2125587463379","42.0934982299805","42.4815292358398","45.3504905700684","44.9681587219238","46.7546997070313","49.9636192321777","51.526481628418","54.137508392334","56.7258911132813","60.012508392334","62.0035514831543","63.6931304931641","63.7140502929688","64.1923522949219","65.3393936157227","",
"Bahrain","BHR","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","1.26932001113892","1.16790997982025","1.04788994789124","1.88666999340057","1.92439997196198","1.78359997272491","2.85939002037048","3.19611001014709","2.96110010147095","3.21702003479004","4.84875011444092","5.73242998123169","","","10.2527303695679","9.87957000732422","8.28773975372314","10.3788003921509","","","14.5778503417969","13.3013000488281","14.0862302780151","13.2134103775024","12.8406896591187","13.3242301940918","","","15.9748296737671","","","","18.5495204925537","","13.009880065918","12.1579599380493","","","","","33.6025810241699","29.9797096252441","25.8798599243164","29.0876903533936","30.9424495697021","33.7203407287598","33.9514999389648","36.9924507141113","41.0149307250977","45.2596702575684",
"Bahamas, The","BHS","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0141801834106","","","","","","","8.17963981628418","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1293106079102","38.5513687133789","40.3913917541504","42.4816284179688","43.06201171875","43.3278694152832","40.3188781738281","36.2318305969238","32.3972015380859","30.17626953125",
"Belarus","BLR","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.3345489501953","","","","","41.1332702636719","40.2795906066895","43.935001373291","45.8729705810547","47.5516510009766","49.4879112243652","50.9941787719727","52.990550994873","54.7531318664551","57.2247085571289","58.8387718200684","59.4957084655762","57.9164085388184","60.5533485412598","65.3916320800781","71.3530731201172","77.1217575073242","79.7998275756836","78.6588973999023","77.2495193481445","77.2603912353516","79.0907135009766","80.1762390136719","","81.1777420043945",
